Code,South,West,North,East
ATL,33.342553,-84.887625,34.278007,-83.847404
AUS,29.700493,-98.240409,30.806700,-97.282766
BAL,39.055443,-77.020850,39.531687,-76.287679
BIR,52.220950,-2.369965,52.861874,-1.450878
BOS,41.994237,-71.464811,42.690208,-70.668514
CGY,50.676468,-114.567399,51.385432,-113.595001
CHI,41.377039,-88.384894,42.242555,-87.405939
CIN,38.839634,-84.853863,39.514436,-84.112338
CLE,41.119093,-82.332406,41.759245,-81.257606
CLT,34.895319,-81.137903,35.550841,-80.432148
COL,39.699858,-83.347219,40.424686,-82.579482
DAL,32.452778,-97.611551,33.369003,-96.303316
DC,38.403509,-77.803841,39.386433,-76.611631
DEN,39.231744,-105.423528,40.297991,-104.500376
DET,41.996827,-83.974766,42.770980,-82.658189
EDM,53.163668,-114.004877,53.884232,-113.008123
HNL,21.169018,-158.313943,21.789998,-157.570407
HOU,29.411676,-95.911722,30.123573,-94.886385
IND,39.487988,-86.556235,40.162915,-85.747397
LIV,53.156276,-3.348015,53.658404,-2.349255
LON,51.181211,-0.827995,51.815289,0.564199
MAN,53.207969,-2.662758,53.755249,-1.848990
MIA,25.209407,-80.649584,26.498924,-79.966286
MKE,42.581237,-88.423438,43.348309,-87.649968
MON,45.170068,-74.452882,45.982832,-73.085318
MSP,44.548408,-93.759536,45.300091,-92.743512
NEW,54.708406,-1.985975,55.287317,-1.171943
NYC,40.410800,-74.426001,41.064002,-73.570123
OTT,44.837368,-76.528616,45.728432,-75.078184
PDX,45.222168,-123.136233,45.839239,-122.174328
PHL,39.604084,-75.582703,40.322314,-74.682845
PHX,33.069418,-112.746082,33.948671,-111.332870
PIT,40.148807,-80.418446,40.781476,-79.527888
QC,46.440968,-71.743404,47.101632,-70.800196
SAN,32.453505,-117.507163,33.413423,-116.631000
SEA,46.888173,-122.734756,48.100194,-121.658139
SF,37.104127,-122.726237,38.231048,-121.566194
SLC,40.120957,-112.226919,41.111221,-111.511276
STL,38.263110,-90.870260,39.040915,-89.806671
TOR,43.211068,-80.127857,44.250932,-78.556343
VAN,48.913368,-123.425923,49.479432,-122.268177
WPG,49.567068,-97.620494,50.146432,-96.695006
