Code,Name,Population
S13002884,Abbey,"10,471"
S13002862,"Aboyne, Upper Deeside and Donside","10,364"
S13003001,Aird and Loch Ness,"11,670"
S13003050,Airdrie Central,"16,081"
S13003049,Airdrie North,"20,070"
S13003053,Airdrie South,"20,206"
S13002845,Airyhall/Broomhill/Garthdee,"16,748"
S13002919,Almond,"36,965"
S13003071,Almond and Earn,"9,734"
S13002608,An Taobh Siar agus Nis,"2,668"
S13002976,Anderston/City/Yorkhill,"34,926"
S13002891,Annandale East and Eskdale ,"9,963"
S13002890,Annandale North,"15,439"
S13002889,Annandale South,"14,651"
S13002892,Annick,"14,681"
S13002873,Arbroath East and Lunan,"12,963"
S13002872,"Arbroath West, Letham and Friockheim","19,076"
S13003145,Ardrossan,"10,359"
S13002828,Armadale and Blackridge,"15,769"
S13003146,Arran,"4,649"
S13003099,Avondale and Stonehouse,"17,749"
S13003090,Ayr East,"12,194"
S13003089,Ayr North,"17,055"
S13003091,Ayr West,"16,793"
S13003009,Badenoch and Strathspey,"14,041"
S13002986,Baillieston,"22,916"
S13002898,Ballochmyle,"13,990"
S13002863,Banchory and Mid Deeside,"11,942"
S13002848,Banff and District,"11,198"
S13003121,Bannockburn,"11,243"
S13003135,Barraigh agus Bhatarsaigh,"1,308"
S13002914,"Barrhead, Liboside and Uplawmoor","19,068"
S13002827,Bathgate,"23,677"
S13002902,Bearsden North,"15,050"
S13002903,Bearsden South,"13,238"
S13003056,Bellshill,"14,896"
S13002904,Bishopbriggs North and Campsie,"19,255"
S13002905,Bishopbriggs South,"15,758"
S13003085,"Bishopton, Bridge of Weir and Langbank","10,028"
S13002998,Black Isle,"10,646"
S13003065,Blairgowrie and Glens,"11,409"
S13003109,Blantyre,"15,968"
S13002940,Bonnybridge and Larbert,"17,259"
S13003019,Bonnyrigg,"18,815"
S13003110,Bothwell and Uddingston,"13,261"
S13002936,Bo’ness and Blackness,"15,644"
S13002868,Brechin and Edzell,"11,106"
S13002836,Bridge of Don,"19,636"
S13002821,"Broxburn, Uphall and Winchburgh","19,839"
S13002966,"Buckhaven, Methil and Wemyss Villages","18,293"
S13003026,Buckie,"10,929"
S13002953,"Burntisland, Kinghorn and Western Kirkcaldy","15,012"
S13002975,Calton,"31,563"
S13003108,Cambuslang East,"17,418"
S13003107,Cambuslang West,"14,096"
S13002982,Canal,"25,989"
S13003000,Caol and Mallaig,"8,388"
S13002970,Cardonald,"29,082"
S13002871,Carnoustie and District,"14,340"
S13003063,Carse of Gowrie,"10,029"
S13002939,"Carse, Kinnaird and Tryst","21,938"
S13002883,Castle Douglas and Crocketford,"8,632"
S13002851,Central Buchan,"14,948"
S13002929,City Centre,"32,104"
S13002877,Clackmannanshire Central,"7,903"
S13002879,Clackmannanshire East,"8,885"
S13002876,Clackmannanshire North,"10,834"
S13002878,Clackmannanshire South,"11,490"
S13002875,Clackmannanshire West,"12,428"
S13002917,"Clarkston, Netherlee and Williamwood","21,281"
S13003126,Clydebank Central,"14,289"
S13003127,Clydebank Waterfront,"14,443"
S13003097,Clydesdale East,"13,165"
S13003096,Clydesdale North,"14,726"
S13003098,Clydesdale South,"14,621"
S13003095,Clydesdale West,"19,350"
S13003048,Coatbridge North,"14,740"
